"StudentGroup","10/2019","10/2020","10/2021","11/2019","11/2020","11/2021","12/2019","12/2020","12/2021","01/2019","01/2020","01/2021","02/2019","02/2020","02/2021"
" ","October","October","October","November","November","November","December","December","December","January","January","January","February","February","February"
" ","2019","2020","2021","2019","2020","2021","2019","2020","2021","2019","2020","2021","2019","2020","2021"
"All Students","2.4","2.5","3.5","2.3","2.3","3.0","2.0","2.3","2.6","2.3","2.4","3.4","2.0","2.6","3.2"
"English Language Learners","3.4","3.7","5.9","3.1","3.3","4.8","2.8","3.3","4.1","3.4","3.6","5.4","2.9","3.8","4.9"
"Non-English Language Learners","2.3","2.4","3.2","2.2","2.2","2.9","1.9","2.2","2.5","2.2","2.3","3.2","1.9","2.5","3.0"
"Low-Income","3.3","3.5","5.0","3.1","3.1","4.3","2.7","3.1","3.7","3.2","3.3","4.9","2.8","3.5","4.5"
"Non-Low Income","1.6","1.7","2.2","1.6","1.7","2.0","1.4","1.7","1.7","1.6","1.6","2.3","1.4","1.9","2.1"
"Female","2.4","2.5","3.2","2.4","2.4","2.8","2.0","2.4","2.4","2.4","2.5","3.2","2.1","2.7","3.0"
"Gender X","5.1","5.7","3.4","4.1","4.9","3.2","3.3","4.3","2.7","3.5","4.4","3.7","3.3","4.9","3.2"
"Male","2.3","2.5","3.7","2.3","2.3","3.3","1.9","2.3","2.8","2.3","2.3","3.6","2.0","2.5","3.4"
"Homeless","5.5","5.5","7.3","5.1","4.7","6.2","4.3","4.5","5.1","5.4","5.3","6.7","4.4","5.2","6.3"
"Non-Homeless","2.3","2.4","3.4","2.2","2.3","3.0","1.9","2.3","2.5","2.2","2.3","3.3","2.0","2.6","3.1"
"American Indian/ Alaskan Native","4.1","4.7","7.2","4.0","4.2","6.3","3.3","3.9","5.2","4.3","4.3","6.9","3.6","4.7","6.5"
"Asian","1.1","1.1","1.6","1.1","1.1","1.4","1.1","1.3","1.1","1.1","1.2","1.6","1.0","1.3","1.5"
"Black/ African American","3.1","3.3","4.1","3.0","3.0","3.5","2.6","3.0","2.9","2.9","3.4","3.9","2.6","3.3","3.7"
"Hispanic/ Latino of any race(s)","3.0","3.2","4.8","2.8","2.9","4.1","2.5","2.9","3.6","3.0","3.1","4.7","2.5","3.3","4.3"
"Native Hawaian/ Other Pacific Islander","3.5","4.4","5.7","3.5","4.0","4.9","3.2","4.0","4.0","3.9","4.3","5.7","3.4","4.5","5.2"
"Two or More Races","2.5","2.7","3.3","2.5","2.5","3.0","2.1","2.4","2.6","2.5","2.6","3.4","2.1","2.8","3.2"
"White","2.1","2.2","2.9","2.1","2.1","2.6","1.8","2.1","2.2","2.1","2.0","2.9","1.8","2.3","2.7"
"Non Section 504","2.3","2.5","3.5","2.3","2.3","3.0","2.0","2.3","2.6","2.3","2.4","3.4","2.0","2.6","3.2"
"Section 504","2.9","3.0","3.3","2.8","2.7","3.0","2.3","2.7","2.5","2.8","2.8","3.3","2.3","3.0","3.0"
"Students with Disabilities","3.5","3.7","4.9","3.3","3.3","4.2","2.8","3.2","3.6","3.3","3.4","4.7","2.8","3.6","4.3"
"Students without Disabilities","2.2","2.3","3.2","2.2","2.2","2.9","1.9","2.2","2.5","2.2","2.2","3.2","1.9","2.5","3.0"
"Non-Unaccompanied Youth","2.4","2.5","3.4","2.3","2.3","3.0","2.0","2.3","2.6","2.3","2.4","3.4","2.0","2.6","3.2"
"Unaccompanied Youth","5.7","6.4","7.4","5.7","5.2","6.4","4.6","4.9","5.2","6.0","5.7","6.6","4.7","6.0","6.1"
