"StudentGroup","October","November","December","January","February"
"All Students",-0.141,-0.14,-0.14,-0.139,-0.141
"English Language Learners ",-0.135,-0.13,-0.127,-0.125,-0.13
"Non-English Language Learners ",-0.143,-0.142,-0.144,-0.143,-0.143
"Low-Income ",-0.178,-0.171,-0.17,-0.168,-0.171
"Non-Low Income ",-0.111,-0.114,-0.116,-0.116,-0.116
"Female ",-0.135,-0.134,-0.133,-0.132,-0.133
"Gender X ",0.452,0.395,0.364,0.333,0.395
"Male ",-0.147,-0.146,-0.147,-0.146,-0.148
"Homeless ",-0.291,-0.275,-0.272,-0.262,-0.265
"Non-Homeless ",-0.136,-0.135,-0.136,-0.135,-0.136
"American Indian/ Alaskan Native ",-0.148,-0.147,-0.15,-0.155,-0.151
"Asian ",-0.008,-0.01,-0.015,-0.013,-0.023
"Black/ African American ",-0.046,-0.038,-0.033,-0.031,-0.036
"Hispanic/ Latino of any race(s) ",-0.091,-0.085,-0.082,-0.079,-0.085
"Native Hawaian/ Other Pacific Islander ",-0.099,-0.083,-0.078,-0.079,-0.077
"Two or More Races ",-0.128,-0.129,-0.13,-0.128,-0.134
"White ",-0.195,-0.196,-0.198,-0.198,-0.196
"Non Section 504",-0.14,-0.139,-0.14,-0.139,-0.14
"Section 504",-0.205,-0.202,-0.2,-0.193,-0.191
"Students with Disabilities ",-0.114,-0.112,-0.112,-0.109,-0.11
"Students without Disabilities ",-0.145,-0.144,-0.144,-0.144,-0.145
"Non-Unaccompanied Youth ",-0.141,-0.139,-0.14,-0.139,-0.14
"Unaccompanied Youth ",-0.263,-0.28,-0.298,-0.272,-0.264
