"Select.View.","Filter.by.Grade.Levels","X"
"Change in Enrolment by Student Population 6th Grade","",""
"This table shows the change in enrolment compared to the same month one year ago. A negative value means that enrolment counts have decreased by","",""
"X.X% between 2019-20 and 2020-21 for the given month","",""
"","Month",""
"StudentGroup October November","December January","February"
"Al Students -4.9% -5.1%","-5.2% -5.1%","-5.4%"
"English Language Learners -2.0% -2.2%","-2.3% -2.0%","-2.7%"
"Non-English Language Learners -5.3% -5.4%","-5.5% -5.5%","-5.7%"
"Low-Income -4.6% -4.6%","-4.7% -4.5%","-4.9%"
"Non-Low Income -5.2% -5.4%","-5.6% -5.7%","-5.9%"
"Female -5.4% -5.5%","-5.6% -5.6%","-5.9%"
"Gender X 141.2% 129.6%","131.5% 135.2%","133.3%"
"Male -4.7% -4.8%","-4.9% -4.9%","-5.2%"
"Homeless -15.9% -15.3%","-15.3% -14.5%","-15.6%"
"Non-Homeless -4.6% -4.8%","-4.9% -4.8%","-5.1%"
"American Indian/ Alaskan Native -4.3% -3.5%","-4.4% -4.1%","-4.7%"
"Asian -2.0% -2.3%","-2.4% -2.4%","-3.1%"
"Black/ African American 0.6% 0.7%","0.8% 0.6%","-0.1%"
"Hispanic/ Latino of any race(s) -2.8% -2.9%","-2.8% -2.7%","-2.8%"
"Native Hawaian/ Other Pacific Islander -1.1% -1.0%","-1.1% -1.6%","-1.9%"
"Two or More Races -4.2% -4.1%","-4.2% -4.0%","-4.4%"
"White -7.1% -7.3%","-7.6% -7.5%","-7.8%"
"Non Section 504 -4.8% -4.9%","-5.0% -5.0%","-5.3%"
"Section 504 -6.9% -7.3%","-7.8% -7.6%","-7.8%"
"Students with Disabilities -1.9% -1.5%","-1.4% -1.2%","-1.5%"
"Students without Disabilities -5.4% -5.6%","-5.8% -5.8%","-6.1%"
"Non-Unaccompanied Youth -4.9% -5.0%","-5.2% -5.1%","-5.4%"
"Unaccompanied Youth -13.1% -12.6%","-11.6% -10.8%","-10.7%"
"Source: OSPI CEDARS extract - Data wil be updated on weekly on Wednesdays","",""
